Name,UMAP 1,UMAP 2
output/mlm_0_sim_cse_5/model,9.938918,4.324697
output/mlm_0_sim_cse_5/model,7.1769114,9.324396
output/mlm_0_sim_cse_5/model,7.582149,7.332416
output/mlm_0_sim_cse_5/model,7.6123595,6.8608413
output/mlm_0_sim_cse_5/model,8.958337,7.9247475
output/mlm_0_sim_cse_5/model,7.374176,8.589971
output/mlm_0_sim_cse_5/model,9.976293,2.5845933
output/mlm_0_sim_cse_5/model,9.021386,8.512188
output/mlm_0_sim_cse_5/model,8.997108,7.987375
output/mlm_0_sim_cse_5/model,7.231582,9.315636
output/mlm_0_sim_cse_5/model,9.472403,6.847037
output/mlm_0_sim_cse_5/model,6.5917063,10.336928
output/mlm_0_sim_cse_5/model,10.31308,3.9703612
output/mlm_0_sim_cse_5/model,8.658464,8.701237
output/mlm_0_sim_cse_5/model,10.987427,9.585417
output/mlm_0_sim_cse_5/model,10.067271,8.908693
output/mlm_0_sim_cse_5/model,8.358869,7.046544
output/mlm_0_sim_cse_5/model,9.060668,8.268034
output/mlm_0_sim_cse_5/model,8.310221,8.215665
output/mlm_0_sim_cse_5/model,8.129394,7.661931
output/mlm_0_sim_cse_5/model,7.5081377,9.625984
output/mlm_0_sim_cse_5/model,10.658549,11.100186
output/mlm_0_sim_cse_5/model,7.2966413,6.554482
output/mlm_0_sim_cse_5/model,7.8016157,9.538967
output/mlm_0_sim_cse_5/model,6.350349,10.31333
output/mlm_0_sim_cse_5/model,6.9960084,9.86126
output/mlm_0_sim_cse_5/model,8.102183,8.224519
output/mlm_0_sim_cse_5/model,7.9077015,7.4251184
output/mlm_0_sim_cse_5/model,6.874052,9.897996
output/mlm_0_sim_cse_5/model,8.303465,7.673716
output/mlm_0_sim_cse_5/model,8.565812,8.95705
output/mlm_0_sim_cse_5/model,6.9093957,6.864502
output/mlm_0_sim_cse_5/model,6.8138766,7.0937643
output/mlm_0_sim_cse_5/model,6.998326,7.2768736
output/mlm_0_sim_cse_5/model,6.2673793,9.96798
output/mlm_0_sim_cse_5/model,6.03057,10.340796
output/mlm_0_sim_cse_5/model,6.723387,10.304286
output/mlm_0_sim_cse_5/model,9.162026,7.781239
output/mlm_0_sim_cse_5/model,7.356716,7.1096063
output/mlm_0_sim_cse_5/model,9.212142,7.6970134
output/mlm_0_sim_cse_5/model,6.380812,10.49494
output/mlm_0_sim_cse_5/model,8.22356,8.394166
output/mlm_0_sim_cse_5/model,6.2115793,9.566401
output/mlm_0_sim_cse_5/model,7.7679915,7.859599
output/mlm_0_sim_cse_5/model,6.435289,6.7741327
output/mlm_0_sim_cse_5/model,6.776192,9.4888
output/mlm_0_sim_cse_5/model,10.648715,11.295984
output/mlm_0_sim_cse_5/model,6.9579086,7.8333106
output/mlm_0_sim_cse_5/model,7.754254,6.9363375
output/mlm_0_sim_cse_5/model,5.8241005,7.6902356
output/mlm_0_sim_cse_5/model,8.259999,7.91598
output/mlm_0_sim_cse_5/model,8.586007,8.270413
output/mlm_0_sim_cse_5/model,8.3081665,8.584194
output/mlm_0_sim_cse_5/model,6.476447,9.819346
output/mlm_0_sim_cse_5/model,6.37532,10.075965
